Code,Legal Name,Business Name,Status,ABN,ACN,RTO Type,Web Address,Registration Manager,Legal Authority,Initial Registration Date,Start Date,End Date,Address,Chief Executive Contact Name,Chief Executive Emails,Chief Executive Title,Chief Executive Phone,Public Enquiries Contact Name,Public Enquiries Contact Title,Public Enquiries Email,Public Enquiries Phone,Registration Enquiries Contact Name,Registration Enquiries Title,Registration Enquiries Email,Registration Enquiries Phone,Qualifications,Courses
1,Office of the Student Identifiers Registrar,,Current,12862898150.0,,Other – Not Elsewhere Classified,,TVET Australia,Office of the Student Identifiers Registrar,05/11/2014,05/11/2014,,"50 Marcus Clarke Street, Canberra, ACT, 2600",USI  Registrar,USIAdmin@education.gov.au,,0262137026,USI  Registrar,Registrar,USIAdmin@education.gov.au,0262137026,USI  Registrar,Registrar,USIAdmin@education.gov.au,0262137026,,
22,Adelaide Training and Employment Centre Inc,ATEC - ADELAIDE TRAINING & EMPLOYMENT CENTRE;ATEC - Group Training,Current,58209574933.0,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.atec.asn.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,28/10/2003,28/10/2018,27/10/2025,"275 Grand Junction Road, Ottoway, SA, 5013",Mr. Gregory Llewellyn Bassani,gregb@atec.asn.au,0423780794,1300112832,,,bookings@atec.asn.au,1300112832,Miss Claire Whitehead,RTO Compliance Manager,clairew@atec.asn.au,1300112832,,
49,Australian Institute of Management Education and Training Pty Ltd,AIM VET,Current,40009668553.0,9668553.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://aim.com.au/,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1998,31/12/2023,31/12/2030,"Ground Floor 7-15 Macquarie Pl, SYDNEY, NSW, 2000",Mr. Martin Mercer,martin.mercer@aim.com.au,0475030068,0475030068,,,studentsupport@aim.com.au,1300658337,Ms. Aliki Voukelatos,Senior Policy and Compliance Officer,avoukelatos@scentia.com.au,0410841995,,
58,Australian Institute of Management-Western Australian Human Resource Development Centre Limited,Australian Institute of Leadership & Management;AUSTRALIAN INSTITUTE OF MANAGEMENT HUMAN RESOURCE DEVELOPMENT CENTRE INC,Current,98928669029.0,625549466.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.aimwa.com,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,20/08/1998,31/08/2024,30/08/2031,"76 Birkdale Street, Floreat, WA, 6014",Professor Gary Ross Martin,aimrto@aimwa.com,0416013859,0893838007,Ms Lesley Reagon,Head of RTO,lreagon@aimwa.com,0893838059,Ms Lesley Reagon,Head of RTO,lreagon@aimwa.com,0893838059,,
64,The University of Notre Dame Australia,The University of Notre Dame Australia,Current,69330643210.0,,University - Non-Government Catholic,http://www.nd.edu.au/broome,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,07/12/1994,01/06/2019,31/05/2026,"88 Guy Street, Broome, WA, 6725",Ms Kim McCorkell,kim.mccorkell@nd.edu.au,0460041126,0460041126,,,vetadmin@nd.edu.au,0499865618,Ms Kim McCorkell,CEO & Director,kim.mccorkell@nd.edu.au,0460041126,,
80,Heather Langton Pty Ltd,Bower Training and Education,Current,97077771174.0,77771174.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,https://bowerplace.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,30/01/2003,01/07/2025,30/06/2032,"Ground Floor 145 South Tce, ADELAIDE, SA, 5000",Mr Malcolm Robinson,info@bowerplace.com.au,0417836766,0882216066,Ms Michelle Lindblom,General Manager,info@bowerplace.com.au,0882216066,Ms Michelle Lindblom,General Manager,info@bowerplace.com.au,0882216066,,
95,Cairns Business College Pty Ltd,,Current,24010113425.0,10113425.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.cbcinstitute.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1998,16/01/2024,15/01/2031,"Level 38 71 Eagle St, BRISBANE CITY, QLD, 4000",Mr Daniel Rhys Flett,dan.flett@vitaecapital.com.au,0421775989,0421775989,Mr Medy Hassan,CEO,medy.hassan@vitaecapital.com.au,0417380065,Mr Medy Hassan,CEO,medy.hassan@vitaecapital.com.au,0417380065,,
101,Canberra Institute of Technology,Canberra Institute of Technology;CIT Solutions,Current,43273796990.0,,"Technical And Further Education Institute, Skills Institute Or Polytechnic",http://www.cit.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1993,21/07/2024,20/07/2031,"36 Bradley Street, PHILLIP, ACT, 2606",Ms Margot McNeill,CITOfficeoftheChiefExecutive@cit.edu.au,,(02)62073107,,,infoline@cit.edu.au,0262073188,Ms Sheree Billingham,Accreditation Manager,citcee@cit.edu.au,0262074186,,
104,Career Employment Australia Ltd,CAREER EMPLOYMENT AUSTRALIA INCORPORATED,Current,65650875007.0,613305098.0,Community Based Adult Education Provider,http://www.cealtd.org.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1998,22/08/2024,21/08/2031,"29 Cambridge Street, Coorparoo, QLD, 4151",Mr Shane Cowan,shanec@ceagroup.com.au,0413436414,0413436414,Ms. Sharon Cowan,Deputy Manager,sharonc@ceagroup.com.au,0734571200,Ms. Sharon Cowan,Deputy Manager,sharonc@ceagroup.com.au,0734571200,,
109,Australian College of the Arts Pty Ltd,AUSMUSIC;AUSMUSIC LTD;AUSTRALIAN COLLEGE OF THE ARTS;COLLARTS;mercer school of interior design,Current,96082799282.0,82799282.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.collarts.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/02/1993,01/08/2022,31/07/2029,"208-224 Wellington St, COLLINGWOOD, VIC, 3066",Sam Jacob,sjacob@collarts.edu.au,,1300818777,Mrs. Cherie Wright,VET Manager,cwright@collarts.edu.au,+61476890348,Mrs. Cherie Wright,VET Manager,cwright@collarts.edu.au,+61476890348,,
